genesymbols	troph	ring	schiz	F	M
PF3D7_0102900	1864.22105229977	3592.611270318	1152.4539534825	838.943125413396	364.264383947479
PF3D7_0103000	160.317446948642	10.4473805763419	126.984612050093	338.618018815653	53.9513306078056
PF3D7_0103100	689.044927913457	232.00376759681	593.500883251981	340.943452011652	822.129879077278
PF3D7_0103200	650.861614201102	267.740777749458	35.9773371004429	93.0251356275881	57.1987186692143
PF3D7_0103400	178.990946544447	21.2306086878952	27.796329615253	825.819568533797	59.5855707547625
PF3D7_0103500	51.1369831016369	31.7106720029825	351.579423391374	11.3180007841681	271.206834862243
PF3D7_0103700	1435.27796830283	284.40416244553	1477.79836634754	246.934898758972	935.961604235196
PF3D7_0103800	181.887596555238	4.35232986925913	36.0202080744784	2642.32577436979	56.8433534527827
PF3D7_0103900	415.930903979694	144.458151621132	18.3319864134959	118.619828125991	34.7192312015286
PF3D7_0104000	99.3307632097797	1.96536278333398	103.20625087228	152.790760060893	72.5547048976779
PF3D7_0104100	58.5546740341777	1	221.704677299206	100.844898511378	23.2316089015362
PF3D7_0104200	206.208334639147	727.91420675426	16021.8401293545	62.7663061649291	533.037614502939
PF3D7_0104400	263.555727614716	335.92734110405	23.9687348804157	154.928224435582	82.6149188357173
PF3D7_0104500	585.545352998439	199.777971133834	34.4646146103645	210.966517192704	1
PF3D7_0104700	2.94240648703326	1	8.05193751983357	271.95435567178	72.844241684029
PF3D7_0104800	20.2403200970724	1	1	1	1
PF3D7_0105100	734.640180557408	55.4954222000706	252.572748469376	250.44716328455	81.5752764340907
PF3D7_0105200	841.422559368684	425.244113527295	39.873352743967	185.099859216507	240.850047353003
PF3D7_0105300	399.360650982837	9.76116708530063	83.0204198293255	314.27131912458	152.238513582167
PF3D7_0105500	500.543734870443	82.927867519052	20.2022247228141	8.32118017424409	23.4794874676857
PF3D7_0105600	291.21435394725	148.327442289879	104.25851795818	39.9195692275308	123.103675892879
PF3D7_0105900	275.452301623663	39.2165842600827	58.7666256283173	334.639662256037	58.7515108385726
PF3D7_0106100	812.818960959628	761.804859400557	64.9548419666657	185.380823323286	275.578143825295
PF3D7_0106200	121.38002773495	17.8676238326445	359.531007272614	313.464530746057	1190.14910490369
PF3D7_0106400	4.64520287572032	35.0238339006966	1	13.1290040874744	31.5474095796676
PF3D7_0106700	520.035622484862	4028.93137258726	556.952402288485	145.905483734436	581.968070611774
PF3D7_0106800	36.7342324130846	2.23316726680807	37.4317947714735	49.7586503358223	1
PF3D7_0106900	287.86487438822	37.4490412641065	149.007712658674	220.840420606852	115.296837055335
PF3D7_0107100	731.647202378921	114.222015382697	699.000949374612	512.915281646059	186.586416478707
PF3D7_0107200	162.448680299955	27.5884657117768	205.189557192596	76.6405682294506	26.8685360995421
PF3D7_0107400	114.814721272915	5.82519423982737	86.3069569380626	29.3946271934443	45.3506036387729
PF3D7_0107700	110.908660613626	12.5767605351555	7.82384250571497	12.4181319936058	1
